repo,workflow_file,tools
https://github.com/boto/boto3,-,-
https://github.com/pypa/packaging,.github/workflows/publish.yml,pypa
https://github.com/pypa/setuptools,-,-
https://github.com/urllib3/urllib3,.github/workflows/publish.yml,pypa
https://github.com/certifi/python-certifi,.github/workflows/release.yml,pypa
https://github.com/python/typing_extensions,.github/workflows/publish.yml,pypa
https://github.com/psf/requests,.github/workflows/publish.yml,pypa
https://github.com/jawah/charset_normalizer,-,-
https://github.com/kjd/idna,.github/workflows/deploy.yml,pypa
https://github.com/boto/botocore,-,-
https://github.com/aio-libs/aiobotocore,-,-
https://github.com/dateutil/dateutil,.github/workflows/publish.yml,-
https://github.com/dateutil/dateutil,-,-
https://github.com/pyca/cryptography,.github/workflows/pypi-publish.yml,astral_uv
https://github.com/benjaminp/six,.github/workflows/publish.yml,twine
https://github.com/numpy/numpy,-,-
https://github.com/python-cffi/cffi,-,-
https://github.com/yaml/pyyaml,-,-
https://github.com/grpc/grpc,.github/workflows/publish-to-bcr.yaml,-
https://github.com/grpc/grpc,-,-
https://github.com/eliben/pycparser,-,-
https://github.com/pydantic/pydantic,-,-
https://github.com/pytest-dev/pluggy,-,-
https://github.com/boto/s3transfer,-,-
https://github.com/pygments/pygments,-,-
https://github.com/pallets/click,.github/workflows/publish.yaml,pypa
https://github.com/python-attrs/attrs,-,-
https://github.com/protocolbuffers/protobuf,.github/workflows/publish_to_bcr.yaml,-
https://github.com/protocolbuffers/protobuf,.github/workflows/release_bazel_module.yaml,-
https://github.com/protocolbuffers/protobuf,.github/workflows/test_release_branches.yml,-
https://github.com/protocolbuffers/protobuf,-,-
https://github.com/agronholm/anyio,.github/workflows/publish.yml,pypa
https://github.com/fsspec/filesystem_spec,.github/workflows/pypipublish.yaml,twine
https://github.com/pandas-dev/pandas,-,-
https://github.com/pytest-dev/pytest,.github/workflows/deploy.yml,pypa
https://github.com/pytest-dev/pytest,.github/workflows/prepare-release-pr.yml,-
https://github.com/pytest-dev/pytest,-,-
https://github.com/python-hyper/h11,-,-
https://github.com/pallets/markupsafe/,.github/workflows/publish.yaml,pypa
https://github.com/pytest-dev/iniconfig,-,-
https://github.com/fsspec/s3fs/,-,-
https://github.com/tox-dev/platformdirs,.github/workflows/release.yaml,pypa
https://github.com/annotated-types/annotated-types,-,-
https://github.com/pypa/pip,.github/workflows/release.yml,pypa
https://github.com/pypa/wheel,.github/workflows/publish.yml,pypa
https://github.com/pallets/jinja/,.github/workflows/publish.yaml,pypa
https://github.com/jmespath/jmespath.py,-,-
https://github.com/python/importlib_metadata,-,-
https://github.com/tox-dev/filelock,.github/workflows/release.yaml,pypa
https://github.com/cpburnz/python-pathspec,.github/workflows/publish-to-pypi.yml,pypa
https://github.com/cpburnz/python-pathspec,.github/workflows/publish-to-testpypi.yml,pypa
https://github.com/jpadilla/pyjwt,-,-
https://github.com/encode/httpx,.github/workflows/publish.yml,-
https://github.com/encode/httpx,-,-
https://github.com/pydantic/typing-inspection,.github/workflows/docs_publish.yml,-
https://github.com/pydantic/typing-inspection,-,-
https://github.com/theskumar/python-dotenv,.github/workflows/release.yml,pypa
https://github.com/encode/httpcore,.github/workflows/publish.yml,-
https://github.com/encode/httpcore,-,-
https://github.com/stub42/pytz,.github/workflows/publish.yml,pypa
https://github.com/jaraco/zipp,-,-
https://github.com/Textualize/rich,-,-
https://github.com/pyasn1/pyasn1,-,-
https://github.com/python-jsonschema/jsonschema,-,-
https://github.com/aio-libs/yarl,-,-
